Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"St. Louis city, Missouri",308174,30542,155835,35.8%
"Beaverhead County, Montana",9415,28401,4683,43%
"Big Horn County, Montana",13387,18934,4785,30.7%
"Blaine County, Montana",6719,19258,2502,33.8%
"Broadwater County, Montana",5945,31631,2595,47.3%
"Carbon County, Montana",10597,33067,5235,50.5%
"Carter County, Montana",1331,28577,641,47.8%
"Cascade County, Montana",81625,30110,36897,38.3%
"Chouteau County, Montana",5732,23769,2569,41.9%
"Custer County, Montana",11729,30504,6170,41.4%
"Daniels County, Montana",1730,35133,870,49.2%
"Dawson County, Montana",9017,31658,4707,41%
"Deer Lodge County, Montana",9106,26241,3705,48.6%
"Fallon County, Montana",2921,37024,1574,39.3%
"Fergus County, Montana",11221,30529,5476,45.3%
"Flathead County, Montana",99899,31694,48363,42.2%
"Gallatin County, Montana",108063,36924,62357,33.4%
"Garfield County, Montana",1036,28541,550,45.8%
"Glacier County, Montana",13732,18043,5025,31.9%
"Golden Valley County, Montana",728,30790,365,56.9%
"Granite County, Montana",3311,30752,1208,54.3%
"Hill County, Montana",16436,23589,7119,34.3%
"Jefferson County, Montana",11917,32773,5424,47.6%
"Judith Basin County, Montana",1954,28811,914,51.7%
"Lake County, Montana",30013,25388,12444,42.3%
"Lewis and Clark County, Montana",67805,34504,34814,40.8%
"Liberty County, Montana",2351,43320,1154,46.5%
"Lincoln County, Montana",19537,25081,6835,52.4%
"McCone County, Montana",1790,27912,778,46.6%
"Madison County, Montana",8302,35719,4098,53%
"Meagher County, Montana",1888,24723,947,48%
"Mineral County, Montana",4251,23621,1565,51.7%
"Missoula County, Montana",117309,31897,65170,36%
"Musselshell County, Montana",4766,24979,1841,50.1%
"Park County, Montana",16352,35123,8576,46.3%
"Petroleum County, Montana",453,31177,223,51.8%
"Phillips County, Montana",4077,25605,1790,49%
"Pondera County, Montana",5994,25633,2563,40.7%
"Powder River County, Montana",1607,32094,877,53.4%
"Powell County, Montana",6854,26456,2577,45.5%
"Prairie County, Montana",1252,27377,569,48.7%
"Ravalli County, Montana",42512,29761,18224,49.1%
"Richland County, Montana",11199,33109,6033,38.6%
"Roosevelt County, Montana",11175,18657,3865,30.2%
"Rosebud County, Montana",9152,24922,3922,36.8%
"Sanders County, Montana",11681,25309,4300,53.9%
"Sheridan County, Montana",3483,36091,1783,46.3%
"Silver Bow County, Montana",34770,27706,16043,40%
"Stillwater County, Montana",9466,32301,4493,46.8%
"Sweet Grass County, Montana",3670,30050,1687,52%
"Teton County, Montana",6086,28022,2640,44.4%
"Toole County, Montana",4892,27528,2189,43.1%
"Treasure County, Montana",668,29763,339,56.8%
"Valley County, Montana",7471,27946,3608,44.3%
"Wheatland County, Montana",2142,21619,945,41.1%
"Wibaux County, Montana",1122,25591,557,47.1%
"Yellowstone County, Montana",159008,34451,81146,38.4%
"Adams County, Nebraska",31587,28729,15862,37.7%
"Antelope County, Nebraska",6341,26523,3217,44.9%
"Arthur County, Nebraska",427,25906,199,45.5%
"Banner County, Nebraska",722,27552,397,48.9%
"Blaine County, Nebraska",477,25097,255,53.2%
"Boone County, Nebraska",5279,33027,2904,44.8%
"Box Butte County, Nebraska",10970,28156,5094,39.4%
"Boyd County, Nebraska",1937,29871,985,54.3%
"Brown County, Nebraska",3015,30674,1554,49.4%
"Buffalo County, Nebraska",49209,31043,27371,33.5%
"Burt County, Nebraska",6510,31635,2982,45.7%
"Butler County, Nebraska",8029,30095,4222,43.3%
"Cass County, Nebraska",25888,33851,13180,41.7%
"Cedar County, Nebraska",8498,30163,4584,42.7%
"Chase County, Nebraska",3783,30080,1934,43.5%
"Cherry County, Nebraska",5779,29415,3278,43.1%
"Cheyenne County, Nebraska",9604,31294,5067,40.4%
"Clay County, Nebraska",6203,27539,3016,42.5%
"Colfax County, Nebraska",10714,23603,5435,33.7%
"Cuming County, Nebraska",8952,29765,4610,42.6%
"Custer County, Nebraska",10826,33561,5503,43.1%
"Dakota County, Nebraska",20173,25269,10294,33.4%
"Dawes County, Nebraska",8810,25383,4661,34.9%
"Dawson County, Nebraska",23733,25956,12024,35.7%
"Deuel County, Nebraska",1831,26351,900,48.7%
"Dixon County, Nebraska",5719,27634,2897,40.8%
"Dodge County, Nebraska",36665,28019,18444,38.9%
"Douglas County, Nebraska",560617,35307,292805,34.7%
"Dundy County, Nebraska",1913,25479,923,43.3%
"Fillmore County, Nebraska",5547,34483,2876,47%
"Franklin County, Nebraska",2987,28365,1505,50.8%
"Frontier County, Nebraska",2640,28899,1294,45.2%
"Furnas County, Nebraska",4747,27021,2336,46.9%
"Gage County, Nebraska",21594,29565,11059,43.8%
"Garden County, Nebraska",1864,35050,876,50.4%
"Garfield County, Nebraska",2001,29146,1030,50.9%
"Gosper County, Nebraska",2013,37565,1125,53.4%
"Grant County, Nebraska",722,23264,348,38.8%
"Greeley County, Nebraska",2382,26553,1172,45.5%
"Hall County, Nebraska",61265,28359,31540,35.9%
"Hamilton County, Nebraska",9215,32131,4909,41.9%
"Harlan County, Nebraska",3415,28919,1670,45.3%
"Hayes County, Nebraska",893,31286,473,45.7%
"Hitchcock County, Nebraska",2815,30037,1386,46.2%
"Holt County, Nebraska",10177,31785,5685,42.8%
"Hooker County, Nebraska",693,27714,287,53.3%
"Howard County, Nebraska",6417,27489,3323,43.1%
"Jefferson County, Nebraska",7144,27461,3438,46.5%
"Johnson County, Nebraska",5161,24072,2126,40.9%
"Kearney County, Nebraska",6529,31094,3388,39.6%
"Keith County, Nebraska",8068,29823,4076,49.3%
"Keya Paha County, Nebraska",760,28853,385,45.3%
"Kimball County, Nebraska",3633,27478,1848,46.3%
"Knox County, Nebraska",8426,28409,4239,45.6%
"Lancaster County, Nebraska",313158,32378,171824,33.5%
"Lincoln County, Nebraska",35263,31567,17538,41.1%
"Logan County, Nebraska",927,24355,478,38.6%
"Loup County, Nebraska",605,27726,317,53.2%
"McPherson County, Nebraska",395,30063,204,54.8%
"Madison County, Nebraska",35080,28179,18271,36.6%
"Merrick County, Nebraska",7798,28795,4023,43.6%
"Morrill County, Nebraska",4781,26951,2287,42.3%
"Nance County, Nebraska",3544,29454,1778,44.8%
"Nemaha County, Nebraska",6973,29574,3349,39.3%
"Nuckolls County, Nebraska",4244,30078,2206,49.2%
"Otoe County, Nebraska",15949,31450,8290,41.4%
"Pawnee County, Nebraska",2649,27162,1241,50%
"Perkins County, Nebraska",2901,35765,1516,42.9%
"Phelps County, Nebraska",9100,32864,4740,42.4%
"Pierce County, Nebraska",7144,32040,3799,41.6%
"Platte County, Nebraska",33174,30331,17399,38.4%
"Polk County, Nebraska",5225,30234,2639,45.1%
"Red Willow County, Nebraska",10768,27392,5715,40.7%
"Richardson County, Nebraska",7961,28309,3823,47.7%
"Rock County, Nebraska",1414,36140,754,46.2%
"Saline County, Nebraska",14270,24627,7140,35.5%
"Sarpy County, Nebraska",181232,36058,94810,34.6%
"Saunders County, Nebraska",21165,33851,10968,41.2%
"Scotts Bluff County, Nebraska",36074,27978,17175,39.5%
"Seward County, Nebraska",17171,32040,9129,38%
"Sheridan County, Nebraska",5231,29477,2714,46.7%
"Sherman County, Nebraska",3033,28448,1516,49.7%
"Sioux County, Nebraska",1219,28646,629,44.1%
"Stanton County, Nebraska",5957,29117,3229,42.1%
"Thayer County, Nebraska",5057,29632,2568,46.5%
"Thomas County, Nebraska",645,36572,365,41.8%
"Thurston County, Nebraska",7181,20141,2785,27.5%
"Valley County, Nebraska",4206,29378,2183,46.2%
"Washington County, Nebraska",20361,35145,10468,41.2%
"Wayne County, Nebraska",9332,27671,5334,32%
"Webster County, Nebraska",3537,29969,1748,45.1%
"Wheeler County, Nebraska",783,29037,400,49.4%
"York County, Nebraska",13745,32975,6869,39.9%
"Churchill County, Nevada",24259,28462,9620,39.7%
"Clark County, Nevada",2182004,30704,1031774,37.3%
"Douglas County, Nevada",48132,38814,21421,52%
"Elko County, Nevada",52297,33875,26168,34.1%
"Esmeralda County, Nevada",969,25849,398,55.4%
"Eureka County, Nevada",1859,34249,930,47.7%
"Humboldt County, Nevada",16828,33362,8491,36%
"Lander County, Nevada",5643,34000,2586,37.4%
"Lincoln County, Nevada",5180,26432,1803,44.4%
"Lyon County, Nevada",54380,27855,22593,43.7%
"Mineral County, Nevada",4460,22921,1534,52.9%
"Nye County, Nevada",44380,25558,14619,53.1%
"Pershing County, Nevada",6615,19891,2072,42.1%
"Storey County, Nevada",3988,37941,1638,50.9%
"Washoe County, Nevada",456936,36071,231583,38.4%
"White Pine County, Nevada",9679,25675,3633,39.8%
"Carson City, Nevada",54773,31549,25705,42.4%
"Belknap County, New Hampshire",60887,37430,31344,47.4%
"Carroll County, New Hampshire",48138,37490,24125,52.3%
"Cheshire County, New Hampshire",76042,33946,39891,43.1%
"Coos County, New Hampshire",31741,27393,14358,48.2%
"Grafton County, New Hampshire",89777,37750,46609,43.2%
"Hillsborough County, New Hampshire",413035,40955,227110,40.7%
"Merrimack County, New Hampshire",149917,37367,79851,42.8%
"Rockingham County, New Hampshire",306359,47222,175088,44.5%
"Strafford County, New Hampshire",129124,35601,70486,36.9%
"Sullivan County, New Hampshire",43104,33042,20839,46.3%
"Atlantic County, New Jersey",266105,33284,127399,41.7%
"Bergen County, New Jersey",930390,51214,480028,41.9%
"Burlington County, New Jersey",445702,43187,223483,41.6%
"Camden County, New Jersey",506738,35958,249732,38.8%
"Cape May County, New Jersey",93086,40389,41841,49.6%
"Cumberland County, New Jersey",151906,25694,61596,37.6%
"Essex County, New Jersey",795404,38722,378224,37.6%
"Gloucester County, New Jersey",291165,39337,149352,40.5%
"Hudson County, New Jersey",670046,40740,357147,35.3%
"Hunterdon County, New Jersey",124823,57098,66913,46.3%
"Mercer County, New Jersey",367922,43086,180235,38.8%
"Middlesex County, New Jersey",825920,39599,406921,38.6%
"Monmouth County, New Jersey",621659,51700,318706,43.3%
"Morris County, New Jersey",493379,58109,261352,42.8%
"Ocean County, New Jersey",596415,36100,260353,42.7%
"Passaic County, New Jersey",503637,32064,243337,37.2%
"Salem County, New Jersey",62990,34047,29326,42.1%
"Somerset County, New Jersey",329838,55828,173721,41.7%
"Sussex County, New Jersey",141483,44728,75773,44.7%
"Union County, New Jersey",554033,41603,281698,38.7%
"Warren County, New Jersey",105862,39802,55354,44.4%
"Bernalillo County, New Mexico",677858,30734,318839,37.6%
"Catron County, New Mexico",3526,21989,888,58.1%
"Chaves County, New Mexico",65144,22041,26889,35.7%
"Cibola County, New Mexico",26891,20018,9202,37.3%
"Colfax County, New Mexico",12168,24035,4900,50.2%
"Curry County, New Mexico",49732,23021,20253,31.5%
"De Baca County, New Mexico",2040,17376,627,35.4%
"Doña Ana County, New Mexico",216069,22154,88305,33.1%
"Eddy County, New Mexico",57732,30246,26438,35.2%
"Grant County, New Mexico",27669,25590,10098,46.4%
"Guadalupe County, New Mexico",4353,17420,1262,43.1%
"Harding County, New Mexico",441,34721,172,58.5%
"Hidalgo County, New Mexico",4297,22009,1527,43.1%
"Lea County, New Mexico",70277,25585,28876,31.8%
"Lincoln County, New Mexico",19461,27454,7565,50.9%
"Los Alamos County, New Mexico",18625,60746,9792,42.3%
"Luna County, New Mexico",24083,17168,7587,37.1%
"McKinley County, New Mexico",72438,15931,23730,32.4%
"Mora County, New Mexico",4536,19864,1445,55.2%
"Otero County, New Mexico",66137,23170,23336,35.8%
"Quay County, New Mexico",8326,19784,2988,43.4%
"Rio Arriba County, New Mexico",39159,22911,14103,41.3%
"Roosevelt County, New Mexico",18888,20123,7901,30%
"Sandoval County, New Mexico",142704,29255,62530,40.1%
"San Juan County, New Mexico",126515,23235,49924,35.4%
"San Miguel County, New Mexico",27738,20762,9626,44%
"Santa Fe County, New Mexico",149293,38520,70383,46.3%
"Sierra County, New Mexico",11031,25344,3422,55.7%
"Socorro County, New Mexico",16858,18948,5488,39.4%
"Taos County, New Mexico",32786,25646,13868,48.8%
"Torrance County, New Mexico",15519,20876,5504,43.6%
"Union County, New Mexico",4133,22116,1496,39.8%
"Valencia County, New Mexico",76027,23675,29682,38.9%
"Albany County, New York",306968,37635,160761,37.8%
"Allegany County, New York",46688,24857,19996,39.1%
"Bronx County, New York",1435068,21778,601341,34.2%
"Broome County, New York",193188,28699,86505,39.9%
"Cattaraugus County, New York",77121,25822,33684,42%
"Cayuga County, New York",77425,30509,36570,42.9%
"Chautauqua County, New York",128496,26165,55951,42.6%
"Chemung County, New York",84895,28778,37333,41.3%
"Chenango County, New York",47909,27708,21649,44.9%
"Clinton County, New York",80583,27761,35759,39.5%
"Columbia County, New York",60371,38268,29694,48.2%
"Cortland County, New York",47865,28229,23241,36.4%
"Delaware County, New York",44995,27701,19952,47.9%
"Dutchess County, New York",293754,40093,145110,42.2%
"Erie County, New York",919355,33598,451762,40.3%
"Essex County, New York",37459,31667,17336,47.7%
"Franklin County, New York",50477,25406,19380,39.9%
"Fulton County, New York",53646,27443,24632,43.9%
"Genesee County, New York",57808,30511,29570,43.1%
"Greene County, New York",47424,28433,20451,45.9%
"Hamilton County, New York",4515,24851,1787,55.3%
"Herkimer County, New York",62057,27850,28769,44.2%
"Jefferson County, New York",112842,26194,43241,32.5%
"Kings County, New York",2589974,34173,1227030,35.2%
"Lewis County, New York",26572,26708,11917,42.2%
"Livingston County, New York",63591,28701,29283,41.3%
"Madison County, New York",71205,30469,34103,41.9%
"Monroe County, New York",743341,33840,368088,38.9%
"Montgomery County, New York",49302,26521,21636,41%
"Nassau County, New York",1356509,51422,687898,41.7%
"New York County, New York",1631993,76592,905475,37.5%
"Niagara County, New York",210820,30971,100670,43.2%
"Oneida County, New York",229959,29687,102302,41%
"Onondaga County, New York",462872,34002,222177,39.1%
"Ontario County, New York",109511,36835,54822,43.7%
"Orange County, New York",380085,34959,177356,37%
"Orleans County, New York",40904,26298,17833,43%
"Oswego County, New York",118339,28587,54134,40.3%
"Otsego County, New York",59972,28849,28014,42.3%
"Putnam County, New York",98787,47448,51264,44.2%
"Queens County, New York",2287388,31930,1134877,39%
"Rensselaer County, New York",159185,35903,81515,39.8%
"Richmond County, New York",474893,36907,214492,40.1%
"Rockland County, New York",324422,39286,147612,36%
"St. Lawrence County, New York",108913,25378,43722,39%
"Saratoga County, New York",228502,43065,119896,42.8%
"Schenectady County, New York",154859,32417,72938,39.7%
"Schoharie County, New York",31222,30397,14429,45.4%
"Schuyler County, New York",17920,27678,8226,46.4%
"Seneca County, New York",34390,28245,15280,42.1%
"Steuben County, New York",96422,29886,42836,42.9%
"Suffolk County, New York",1483832,44465,752016,41.5%
"Sullivan County, New York",75116,30446,33008,42.8%
"Tioga County, New York",48686,31822,22805,44.5%
"Tompkins County, New York",102642,33075,50882,31.1%
"Ulster County, New York",178665,34834,87223,44%
"Warren County, New York",64276,35271,31988,46.8%
"Washington County, New York",61616,28530,29139,44.2%
"Wayne County, New York",90519,31043,44700,43.8%
"Westchester County, New York",968890,57049,482359,40.9%
"Wyoming County, New York",40305,27947,18497,42.2%
"Yates County, New York",25011,28270,11404,41%
"Alamance County, North Carolina",163324,27312,77665,39.1%
"Alexander County, North Carolina",37213,26688,16913,43.7%
"Alleghany County, North Carolina",11008,23267,4644,50.1%
"Anson County, North Carolina",24902,21635,10383,40.9%
"Ashe County, North Carolina",26863,24814,12512,48.3%
"Avery County, North Carolina",17506,21167,6545,45.2%
"Beaufort County, North Carolina",47168,27504,19383,46.2%
"Bertie County, North Carolina",19380,22947,7338,45.4%
"Bladen County, North Carolina",33407,23440,13159,44.5%
"Brunswick County, North Carolina",131815,33312,52589,53.8%
"Buncombe County, North Carolina",256886,32426,127147,42.2%
"Burke County, North Carolina",89968,24481,39033,44.1%
"Cabarrus County, North Carolina",206615,32255,103251,37.9%
"Caldwell County, North Carolina",81884,23869,36848,44.6%
"Camden County, North Carolina",10551,28221,4466,41%
"Carteret County, North Carolina",69070,33722,30680,48.6%
"Caswell County, North Carolina",22684,23901,9519,45.7%
"Catawba County, North Carolina",157613,28224,73813,41.4%
"Chatham County, North Carolina",71338,40967,32344,46.7%
"Cherokee County, North Carolina",27969,23902,10844,51.5%
"Chowan County, North Carolina",14097,26256,5586,46%
"Clay County, North Carolina",10946,28467,4217,52.2%
"Cleveland County, North Carolina",97282,22589,40163,41.8%
"Columbus County, North Carolina",56068,22608,19767,41.9%
"Craven County, North Carolina",102491,29521,40394,37%
"Cumberland County, North Carolina",332861,24936,127212,31.3%
"Currituck County, North Carolina",26363,31849,12681,42.8%
"Dare County, North Carolina",36222,34578,18416,46.5%
"Davidson County, North Carolina",165381,25988,75087,42.5%
"Davie County, North Carolina",42257,31173,19509,45.2%
"Duplin County, North Carolina",58967,20254,24773,40.5%
"Durham County, North Carolina",311848,35398,162945,35.4%
"Edgecombe County, North Carolina",52648,20626,21563,41.7%
"Forsyth County, North Carolina",375195,30769,172626,38.4%
"Franklin County, North Carolina",66362,27294,30998,41.4%
"Gaston County, North Carolina",219271,27352,102010,40.1%
"Gates County, North Carolina",11548,25846,5258,46.5%
"Graham County, North Carolina",8509,20323,3388,46.2%
"Granville County, North Carolina",59328,27131,26927,42.7%
"Greene County, North Carolina",21033,19168,8346,40.7%
"Guilford County, North Carolina",527868,30767,253250,37.1%
"Halifax County, North Carolina",51190,21848,19287,43.4%
"Harnett County, North Carolina",132283,23767,52441,34.4%
"Haywood County, North Carolina",61053,30490,27218,47.6%
"Henderson County, North Carolina",114913,31564,53229,47.4%
"Hertford County, North Carolina",24012,20119,9541,42.2%
"Hoke County, North Carolina",53957,20991,19173,32.8%
"Hyde County, North Carolina",5213,18245,1956,40.9%
"Iredell County, North Carolina",175538,33194,86063,40.6%
"Jackson County, North Carolina",42938,25347,18967,37.7%
"Johnston County, North Carolina",196870,27924,94439,38.4%
"Jones County, North Carolina",9594,21928,3701,48.5%
"Lee County, North Carolina",60481,24842,26643,38.6%
"Lenoir County, North Carolina",56756,23865,22856,42.7%
"Lincoln County, North Carolina",82919,31771,39889,43.3%
"McDowell County, North Carolina",45227,24281,18707,43.9%
"Macon County, North Carolina",34813,28936,14178,50.1%
"Madison County, North Carolina",21499,25956,9162,44%
"Martin County, North Carolina",22849,23575,9424,46.3%
"Mecklenburg County, North Carolina",1074475,38819,571063,35.1%
"Mitchell County, North Carolina",15004,25009,6397,47%
"Montgomery County, North Carolina",27252,24636,10797,43.6%
"Moore County, North Carolina",97294,34606,40851,44.3%
"Nash County, North Carolina",94030,27406,43322,41.7%
"New Hanover County, North Carolina",227938,34288,111708,39.1%
"Northampton County, North Carolina",19946,22002,7357,49.6%
"Onslow County, North Carolina",195069,24413,64064,26.4%
"Orange County, North Carolina",144836,42231,74179,34.8%
"Pamlico County, North Carolina",12701,29092,4825,52.4%
"Pasquotank County, North Carolina",39514,24664,16462,38.6%
"Pender County, North Carolina",60399,29266,26243,42.7%
"Perquimans County, North Carolina",13430,27569,5338,49.8%
"Person County, North Carolina",39345,27329,18668,43.7%
"Pitt County, North Carolina",178433,27155,84097,32.5%
"Polk County, North Carolina",20557,30756,8359,52.7%
"Randolph County, North Carolina",143118,24397,66144,41.7%
"Richmond County, North Carolina",44997,21228,17762,40.5%
"Robeson County, North Carolina",132596,18709,48621,36.6%
"Rockingham County, North Carolina",91077,24209,39300,44.7%
"Rowan County, North Carolina",140296,25630,62623,40.2%
"Rutherford County, North Carolina",66599,23978,26817,45%
"Sampson County, North Carolina",63385,22875,27250,40.3%
"Scotland County, North Carolina",35076,19052,12113,39.3%
"Stanly County, North Carolina",61588,25863,28750,42.2%
"Stokes County, North Carolina",45781,26279,20997,46.2%
"Surry County, North Carolina",71971,25500,31291,44.1%
"Swain County, North Carolina",14260,23139,5642,41.9%
"Transylvania County, North Carolina",33775,29549,14055,51.1%
"Tyrrell County, North Carolina",4095,19743,1536,46.2%
"Union County, North Carolina",231053,36362,113699,38.2%
"Vance County, North Carolina",44479,23049,19153,40.9%
"Wake County, North Carolina",1069079,40982,565245,36.2%
"Warren County, North Carolina",19898,23432,7402,48%
"Washington County, North Carolina",11922,23431,4318,46.1%
"Watauga County, North Carolina",54925,26882,25748,31.9%
"Wayne County, North Carolina",123603,25277,52287,37.8%
"Wilkes County, North Carolina",68469,25202,29454,44.9%
"Wilson County, North Carolina",81435,24790,35593,40.5%
"Yadkin County, North Carolina",37602,25218,16233,44.4%
"Yancey County, North Carolina",17760,24487,7306,47.6%
"Adams County, North Dakota",2311,33458,1191,45.6%
"Barnes County, North Dakota",10706,35491,5863,45.1%
"Benson County, North Dakota",6873,21707,2440,30.5%
"Billings County, North Dakota",922,42071,447,43.7%
"Bottineau County, North Dakota",6502,35655,3215,45%
"Bowman County, North Dakota",3148,34880,1623,41%
"Burke County, North Dakota",2182,39350,1053,36.8%
"Burleigh County, North Dakota",94793,38804,51291,37%
"Cass County, North Dakota",176975,37620,103886,32.5%
"Cavalier County, North Dakota",3803,43457,1894,49.5%
"Dickey County, North Dakota",4938,33539,2632,41.9%
"Divide County, North Dakota",2335,40184,1111,51.1%
"Dunn County, North Dakota",4395,42691,2048,39%
"Eddy County, North Dakota",2301,35639,1175,45.8%
"Emmons County, North Dakota",3310,33088,1535,50.9%
"Foster County, North Dakota",3260,35299,1753,44.8%
"Golden Valley County, North Dakota",1845,33111,979,45%
"Grand Forks County, North Dakota",70224,32153,38382,29.7%
"Grant County, North Dakota",2353,34786,1078,50.1%
"Griggs County, North Dakota",2409,34882,1176,51.1%
"Hettinger County, North Dakota",2547,34181,1141,46.5%
"Kidder County, North Dakota",2466,31000,1155,47.8%
"LaMoure County, North Dakota",4125,37220,2051,47.9%
"Logan County, North Dakota",1872,32619,948,52%
"McHenry County, North Dakota",5878,36980,2871,43.2%
"McIntosh County, North Dakota",2597,32131,1401,53.5%
"McKenzie County, North Dakota",13334,36690,6725,30.1%
"McLean County, North Dakota",9584,36428,4552,46%
"Mercer County, North Dakota",8462,39025,4311,44%
"Morton County, North Dakota",30868,39384,18045,37.8%
"Mountrail County, North Dakota",10321,36364,4719,33.2%
"Nelson County, North Dakota",2894,34491,1451,52.4%
"Oliver County, North Dakota",1842,35565,802,47%
"Pembina County, North Dakota",6947,36251,3376,48.1%
"Pierce County, North Dakota",4126,30756,1999,45.8%
"Ramsey County, North Dakota",11583,34041,6114,40.7%
"Ransom County, North Dakota",5314,34665,2788,46.6%
"Renville County, North Dakota",2442,34452,1191,39%
"Richland County, North Dakota",16254,31346,8405,37.3%
"Rolette County, North Dakota",14511,20484,5299,31.4%
"Sargent County, North Dakota",3872,37105,2091,45.2%
"Sheridan County, North Dakota",1409,32627,567,50.9%
"Sioux County, North Dakota",4373,15649,1258,28.2%
"Slope County, North Dakota",742,33798,325,47.7%
"Stark County, North Dakota",31081,38103,16014,34.2%
"Steele County, North Dakota",1744,39011,927,50.3%
"Stutsman County, North Dakota",20965,31991,10663,40.5%
"Towner County, North Dakota",2224,37239,1038,47.6%
"Traill County, North Dakota",8008,33321,4059,41.2%
"Walsh County, North Dakota",10751,34194,5401,44.2%
"Ward County, North Dakota",68812,34923,35164,31.6%
"Wells County, North Dakota",3976,35134,1886,51.6%
"Williams County, North Dakota",35208,44235,18813,31.3%
"Adams County, Ohio",27776,22366,10396,42%
"Allen County, Ohio",103175,26761,48319,39.2%
"Ashland County, Ohio",53536,26017,25570,40.4%
"Ashtabula County, Ohio",97830,24265,40462,42.5%
"Athens County, Ohio",65917,22040,28134,29.6%
"Auglaize County, Ohio",45729,31198,23435,41.1%
"Belmont County, Ohio",68024,27580,28957,44.6%
"Brown County, Ohio",43572,26696,19654,42.1%
"Butler County, Ohio",380019,31921,183889,36.7%
"Carroll County, Ohio",27332,29518,12502,45.5%
"Champaign County, Ohio",38845,27722,18419,41.9%
"Clark County, Ohio",134726,27066,60958,41.1%
"Clermont County, Ohio",204275,34390,102881,40%
"Clinton County, Ohio",41957,26690,19738,39.4%
"Columbiana County, Ohio",103190,26469,45391,44.1%
"Coshocton County, Ohio",36585,23432,15877,41.3%
"Crawford County, Ohio",41821,25744,18664,43%
"Cuyahoga County, Ohio",1247451,33114,593418,40.4%
"Darke County, Ohio",51513,27855,24963,41.9%
"Defiance County, Ohio",38160,29816,18861,40.4%
"Delaware County, Ohio",201135,48117,103594,38.8%
"Erie County, Ohio",74780,32790,35976,44.8%
"Fairfield County, Ohio",154457,32021,74141,39.2%
"Fayette County, Ohio",28620,26079,12744,41.4%
"Franklin County, Ohio",1290360,33998,678242,34.1%
"Fulton County, Ohio",42253,29600,21240,41.1%
"Gallia County, Ohio",30088,24130,12210,40.7%
"Geauga County, Ohio",93843,42958,47910,44.8%
"Greene County, Ohio",166502,35833,78781,38.3%
"Guernsey County, Ohio",39111,24742,16732,42.2%
"Hamilton County, Ohio",813589,35570,406743,36.8%
"Hancock County, Ohio",75837,32797,38927,39.3%
"Hardin County, Ohio",31425,23383,14679,35.9%
"Harrison County, Ohio",15211,24940,6104,46.3%
"Henry County, Ohio",27208,28830,13346,41.1%
"Highland County, Ohio",43016,23543,17642,40.8%
"Hocking County, Ohio",28390,25588,12504,43.1%
"Holmes County, Ohio",43901,23404,20286,31.5%
"Huron County, Ohio",58339,26133,27505,39.8%
"Jackson County, Ohio",32450,23254,13553,40.1%
"Jefferson County, Ohio",66371,26391,27769,44.8%
"Knox County, Ohio",61481,26390,28638,39.4%
"Lake County, Ohio",229954,34409,118331,43.8%
"Lawrence County, Ohio",60184,24562,24555,41.8%
"Licking County, Ohio",173750,31617,83927,39.7%
"Logan County, Ohio",45316,29424,21676,41.4%
"Lorain County, Ohio",307670,30928,142923,41.8%
"Lucas County, Ohio",431102,29226,200130,37.8%
"Madison County, Ohio",44135,29164,19293,40.8%
"Mahoning County, Ohio",229961,28378,104974,43.5%
"Marion County, Ohio",65299,24484,26631,41.3%
"Medina County, Ohio",177980,37788,93280,42.2%
"Meigs County, Ohio",23078,24899,8935,43.6%
"Mercer County, Ohio",40884,29765,21099,39.6%
"Miami County, Ohio",105371,31254,50939,41.3%
"Monroe County, Ohio",13942,26476,5138,46.5%
"Montgomery County, Ohio",531670,30034,246370,39.2%
"Morgan County, Ohio",14640,22937,5792,44.5%
"Morrow County, Ohio",35043,28257,17420,42.2%
"Muskingum County, Ohio",86131,25148,38331,40.3%
"Noble County, Ohio",14416,24440,4061,50.4%
"Ottawa County, Ohio",40632,34560,19366,49.3%
"Paulding County, Ohio",18809,28300,8646,42.1%
"Perry County, Ohio",36022,23484,15084,40.2%
"Pickaway County, Ohio",57762,27760,24785,39.7%
"Pike County, Ohio",28000,24318,10496,40.8%
"Portage County, Ohio",162511,30054,83100,38%
"Preble County, Ohio",41093,28890,19834,42.7%
"Putnam County, Ohio",33911,31743,17527,39.8%
"Richland County, Ohio",121100,25585,52254,41.1%
"Ross County, Ohio",76948,24913,31060,41%
"Sandusky County, Ohio",59029,27319,28340,42.2%
"Scioto County, Ohio",76040,23719,28010,39.9%
"Seneca County, Ohio",55351,27100,26789,39.9%
"Shelby County, Ohio",48749,29381,25031,39.5%
"Stark County, Ohio",372404,29495,178411,42.1%
"Summit County, Ohio",541334,33606,267727,41%
"Trumbull County, Ohio",200367,26935,86952,44.3%
"Tuscarawas County, Ohio",92335,27057,44023,41%
"Union County, Ohio",56707,37384,28871,38%
"Van Wert County, Ohio",28261,27115,13664,41.2%
"Vinton County, Ohio",13083,21781,5416,42.9%
"Warren County, Ohio",229132,41792,114387,39.4%
"Washington County, Ohio",60426,28782,27110,44.3%
"Wayne County, Ohio",116099,27884,56091,38.7%
"Williams County, Ohio",36816,27124,17823,41.4%
"Wood County, Ohio",130150,32431,69780,34.9%
"Wyandot County, Ohio",22000,28541,11308,42.1%
"Adair County, Oklahoma",22220,17026,8028,37.2%
"Alfalfa County, Oklahoma",5847,27615,2233,44.2%
